OK
315.705621
825
Boogie Dump Took : 0.997755
0.001714
7.941375
0.378633349090909
0,0,0,0,0,0,0,8.407079,12,14,8
0,0,0,0,0,0,0,8.53586,5,6,3
0,0,0,0,0,0,0,8.546689,8,13,12
0,0,0,0,0,0,0,8.298764,6,18,11
0,0,0,0,0,0,0,8.426776,8,18,11
0,0,0,0,0,0,0,8.2161,12,9,9
0,0,0,0,0,0,0,7.759831,9,17,12
0,0,0,0,0,0,0,7.754712,10,13,14
0,0,0,0,0,0,0,8.144017,10,16,11
0,0,0,0,0,0,0,8.220017,16,8,5
0,0,0,0,0,0,0,8.139567,9,15,13
0,0,0,0,0,0,0,8.143454,14,9,10
0,0,0,0,0,0,0,7.993353,9,4,4
0,0,0,0,0,0,0,8.402105,8,18,7
0,0,0,0,0,0,0,8.168469,12,10,8
0,0,0,0,0,0,0,8.306677,8,14,8
0,0,0,0,0,0,0,8.449353,14,13,10
0,0,0,0,0,0,0,8.536736,8,16,10
0,0,0,0,0,0,0,7.995227,5,19,10
0,0,0,0,0,0,0,8.309254,15,19,6
0,0,0,0,0,0,0,6.392105,4,14,11
0,0,0,0,0,0,0,8.21624,10,5,4
0,0,0,0,0,0,0,7.853125,14,16,8
0,0,0,0,0,0,0,8.021353,5,12,14
0,0,0,0,0,0,0,7.68219,6,16,12
0,0,0,0,0,0,0,7.566926,11,19,7
0,0,0,0,0,0,0,7.642002,8,16,15
0,0,0,0,0,0,0,8.268369,7,11,13
0,0,0,0,0,0,0,8.133994,6,6,5
0,0,0,0,0,0,0,7.72078,7,14,11
0,0,0,0,0,0,0,8.605575,12,11,3
0,0,0,0,0,0,0,8.108988,5,21,8
#stats#
TotalSplitsOR: 890
TotalSplitsAND: 6949
Non-Leading client : comma seperated leading clients killed
28 : 
2 : 
7 : 
30 : 
15 : 
28 : 
1 : 
7 : 
5 : 
0 : 
28 : 
5 : 
1 : 
13 : 
0 : 
7 : 
1 : 
21 : 
28 : 
15 : 
12 : 
15 : 
21 : 
14 : 
14 : 
21 : 
1 : 
12 : 
28 : 
12 : 
9 : 
5 : 
30 : 
12 : 
28 : 
21 : 
30 : 
0 : 
1 : 24,-1,-1,26,-1,-1,17,-1,0,10,-1,6,28,-1,-1,31,-1,3,8,19,-1,29,-1,-1,7,-1,14,27,16,-1,9,12,-1,18,-1,25,-1,-1,13,-1,11,15,-1,23,4,-1
Node : startTime, EndTime
1441 : 06-04 13:16:40.373793,06-04 13:16:49.449005
1765 : 06-04 13:16:51.535588,06-04 13:16:51.603326
1766 : 01-01 00:00:00.000000,06-04 13:16:51.603353
1895 : 06-04 13:17:01.570610,06-04 13:17:01.635493
1896 : 01-01 00:00:00.000000,06-04 13:17:01.635530
1615 : 06-04 13:16:40.814413,06-04 13:17:04.585277
1616 : 01-01 00:00:00.000000,06-04 13:17:04.585303
1965 : 06-04 13:17:07.211819,06-04 13:17:07.294894
1966 : 01-01 00:00:00.000000,06-04 13:17:07.294926
1775 : 06-04 13:16:53.144613,06-04 13:17:14.500087
1776 : 01-01 00:00:00.000000,06-04 13:17:14.500120
1800 : 06-04 13:16:55.670221,06-04 13:17:16.857367
1801 : 01-01 00:00:00.000000,06-04 13:17:16.857394
1725 : 06-04 13:16:50.090727,06-04 13:17:19.185342
1726 : 01-01 00:00:00.000000,06-04 13:17:19.185369
1845 : 06-04 13:16:57.680145,06-04 13:17:21.689888
1846 : 01-01 00:00:00.000000,06-04 13:17:21.689919
1085 : 06-04 13:16:03.713408,06-04 13:17:21.923357
1086 : 06-04 13:16:13.974967,06-04 13:17:21.923391
1925 : 06-04 13:17:04.941460,06-04 13:17:29.592578
1926 : 06-04 13:17:26.094235,06-04 13:17:29.592613
1875 : 06-04 13:17:01.099169,06-04 13:17:35.760456
1876 : 06-04 13:17:25.378940,06-04 13:17:35.760475
2035 : 06-04 13:17:12.862705,06-04 13:17:38.455748
2036 : 01-01 00:00:00.000000,06-04 13:17:38.455769
2340 : 06-04 13:17:39.455196,06-04 13:17:39.531393
2341 : 01-01 00:00:00.000000,06-04 13:17:39.531428
2230 : 06-04 13:17:29.791874,06-04 13:17:41.826616
2231 : 01-01 00:00:00.000000,06-04 13:17:41.826638
1995 : 06-04 13:17:08.209166,06-04 13:17:46.609121
1996 : 01-01 00:00:00.000000,06-04 13:17:46.609148
2440 : 06-04 13:17:48.944084,06-04 13:17:49.042063
2441 : 01-01 00:00:00.000000,06-04 13:17:49.042081
2425 : 06-04 13:17:47.288492,06-04 13:17:54.514984
2426 : 01-01 00:00:00.000000,06-04 13:17:54.515008
2620 : 06-04 13:18:03.454994,06-04 13:18:03.552208
2621 : 01-01 00:00:00.000000,06-04 13:18:03.552240
1215 : 06-04 13:16:10.405897,06-04 13:18:08.686038
1216 : 06-04 13:16:14.255758,06-04 13:18:08.686083
2715 : 06-04 13:18:11.200279,06-04 13:18:11.609259
2716 : 01-01 00:00:00.000000,06-04 13:18:11.609294
2535 : 06-04 13:17:55.100506,06-04 13:18:14.614149
2536 : 01-01 00:00:00.000000,06-04 13:18:14.614174
2820 : 06-04 13:18:20.909718,06-04 13:18:21.015368
2821 : 01-01 00:00:00.000000,06-04 13:18:21.015395
2905 : 06-04 13:18:26.719613,06-04 13:18:26.821895
2906 : 01-01 00:00:00.000000,06-04 13:18:26.821923
2520 : 06-04 13:17:54.805676,06-04 13:18:27.427728
2521 : 01-01 00:00:00.000000,06-04 13:18:27.427746
2650 : 06-04 13:18:05.405382,06-04 13:18:29.317924
2651 : 01-01 00:00:00.000000,06-04 13:18:29.317950
2940 : 06-04 13:18:31.707163,06-04 13:18:31.801448
2941 : 01-01 00:00:00.000000,06-04 13:18:31.801473
2960 : 06-04 13:18:32.975077,06-04 13:18:33.045751
2961 : 01-01 00:00:00.000000,06-04 13:18:33.045770
2885 : 06-04 13:18:26.181287,06-04 13:18:33.866252
2886 : 01-01 00:00:00.000000,06-04 13:18:33.866277
2185 : 06-04 13:17:26.117760,06-04 13:18:34.441198
2186 : 01-01 00:00:00.000000,06-04 13:18:34.441219
2995 : 06-04 13:18:34.808298,06-04 13:18:34.900009
2996 : 01-01 00:00:00.000000,06-04 13:18:34.900040
3025 : 06-04 13:18:36.406471,06-04 13:18:36.513564
3026 : 01-01 00:00:00.000000,06-04 13:18:36.513590
2470 : 06-04 13:17:51.128267,06-04 13:18:39.448166
2471 : 01-01 00:00:00.000000,06-04 13:18:39.448193
3070 : 06-04 13:18:42.083252,06-04 13:18:42.192805
3071 : 01-01 00:00:00.000000,06-04 13:18:42.192839
3085 : 06-04 13:18:42.542802,06-04 13:18:42.657887
3086 : 01-01 00:00:00.000000,06-04 13:18:42.657917
2970 : 06-04 13:18:33.027051,06-04 13:18:49.824344
2971 : 01-01 00:00:00.000000,06-04 13:18:49.824375
3200 : 06-04 13:18:50.836181,06-04 13:18:50.956538
3201 : 01-01 00:00:00.000000,06-04 13:18:50.956565
3245 : 06-04 13:18:55.517837,06-04 13:18:55.628741
3246 : 01-01 00:00:00.000000,06-04 13:18:55.628774
3365 : 06-04 13:19:07.246195,06-04 13:19:07.280669
3366 : 01-01 00:00:00.000000,06-04 13:19:07.280698
3395 : 06-04 13:19:08.257544,06-04 13:19:08.473065
3396 : 01-01 00:00:00.000000,06-04 13:19:08.473095
3425 : 06-04 13:19:12.672329,06-04 13:19:12.762719
3426 : 01-01 00:00:00.000000,06-04 13:19:12.762739
3440 : 06-04 13:19:12.981634,06-04 13:19:13.114061
3441 : 01-01 00:00:00.000000,06-04 13:19:13.114081
2875 : 06-04 13:18:26.127903,06-04 13:19:18.003100
2876 : 06-04 13:19:01.622206,06-04 13:19:18.003135
3535 : 06-04 13:19:21.449563,06-04 13:19:21.691492
3536 : 01-01 00:00:00.000000,06-04 13:19:21.691513
3560 : 06-04 13:19:24.299629,06-04 13:19:24.561793
3561 : 01-01 00:00:00.000000,06-04 13:19:24.561824
2750 : 06-04 13:18:13.473131,06-04 13:19:27.996641
2751 : 01-01 00:00:00.000000,06-04 13:19:27.996671
3625 : 06-04 13:19:27.986930,06-04 13:19:28.145851
3626 : 01-01 00:00:00.000000,06-04 13:19:28.145881
3710 : 06-04 13:19:38.123135,06-04 13:19:38.222818
3711 : 01-01 00:00:00.000000,06-04 13:19:38.222848
3735 : 06-04 13:19:39.967196,06-04 13:19:40.073010
3736 : 01-01 00:00:00.000000,06-04 13:19:40.073032
3180 : 06-04 13:18:49.868044,06-04 13:19:40.419550
3181 : 06-04 13:19:28.024569,06-04 13:19:40.419579
3765 : 06-04 13:19:44.399541,06-04 13:19:44.489111
3766 : 01-01 00:00:00.000000,06-04 13:19:44.489134
3775 : 06-04 13:19:45.302991,06-04 13:19:45.376666
3776 : 01-01 00:00:00.000000,06-04 13:19:45.376696
2265 : 06-04 13:17:32.639979,06-04 13:19:46.255582
2266 : 01-01 00:00:00.000000,06-04 13:19:46.255611
3800 : 06-04 13:19:48.715074,06-04 13:19:48.802032
3801 : 01-01 00:00:00.000000,06-04 13:19:48.802058
1830 : 06-04 13:16:56.819250,06-04 13:19:49.078325
1831 : 06-04 13:17:18.701181,06-04 13:19:49.078379
3835 : 06-04 13:19:51.059892,06-04 13:19:51.384312
3836 : 01-01 00:00:00.000000,06-04 13:19:51.384337
3600 : 06-04 13:19:26.243640,06-04 13:19:55.248852
3601 : 01-01 00:00:00.000000,06-04 13:19:55.248871
3510 : 06-04 13:19:19.706745,06-04 13:20:04.648489
3511 : 01-01 00:00:00.000000,06-04 13:20:04.648517
3960 : 06-04 13:20:05.620660,06-04 13:20:05.705258
3961 : 01-01 00:00:00.000000,06-04 13:20:05.705284
3815 : 06-04 13:19:49.735571,06-04 13:20:06.294613
3816 : 01-01 00:00:00.000000,06-04 13:20:06.294643
4005 : 06-04 13:20:10.898757,06-04 13:20:10.987165
4006 : 01-01 00:00:00.000000,06-04 13:20:10.987194
2330 : 06-04 13:17:39.399337,06-04 13:20:13.925531
2331 : 06-04 13:18:47.941245,06-04 13:20:13.925583
4055 : 06-04 13:20:16.252231,06-04 13:20:16.366837
4056 : 01-01 00:00:00.000000,06-04 13:20:16.366867
3570 : 06-04 13:19:24.926100,06-04 13:20:18.583220
3571 : 06-04 13:20:04.673002,06-04 13:20:18.583258
2115 : 06-04 13:17:19.381578,06-04 13:20:18.583268
2116 : 06-04 13:18:14.019738,06-04 13:20:18.583308
4085 : 06-04 13:20:19.253245,06-04 13:20:19.338050
4086 : 01-01 00:00:00.000000,06-04 13:20:19.338070
3150 : 06-04 13:18:47.268501,06-04 13:20:21.449119
3151 : 06-04 13:20:06.256960,06-04 13:20:21.449158
2695 : 06-04 13:18:10.597821,06-04 13:20:23.498036
2696 : 01-01 00:00:00.000000,06-04 13:20:23.498057
1955 : 06-04 13:17:07.090554,06-04 13:20:23.498067
1956 : 06-04 13:17:44.341816,06-04 13:20:23.498120
276 : 06-04 13:15:21.033134,06-04 13:20:26.425216
3695 : 06-04 13:19:36.570864,06-04 13:20:26.425484
3696 : 01-01 00:00:00.000000,06-04 13:20:26.425497
2275 : 06-04 13:17:32.799673,06-04 13:20:26.425792
2276 : 06-04 13:18:27.669875,06-04 13:20:26.425828
3580 : 06-04 13:19:25.520827,06-04 13:20:26.425961
3581 : 06-04 13:20:25.446425,06-04 13:20:26.425972
2355 : 06-04 13:17:40.563669,06-04 13:20:26.426387
2356 : 06-04 13:18:26.163619,06-04 13:20:26.426405
3525 : 06-04 13:19:21.274629,06-04 13:20:26.426488
3526 : 01-01 00:00:00.000000,06-04 13:20:26.426499
275 : 06-04 13:15:21.031331,06-04 13:20:26.426680
